obj_1,obj_2,obj_3,odd,reason_for_similarity
Galapagos Penguin,Hamadryas Baboon,Andean Condor,Hamadryas Baboon,The other two are Endemic species to Ecuador
Cuyabeno Wildlife Reserve,Yasuni National Park,Malecon 2000,Malecon 2000,The other two are Protected Natural Areas
Andes Mountains,Guayas River,Amazon Rainforest,Guayas River,The other two are Geographical features of Ecuador
Ceviche,Pizza,Encebollado,Pizza,The other two are Traditional Ecuadorian dishes
Euro,Dollar,Sucre,Euro,The other two are Currencies used in Ecuador
Independence of Guayaquil,Battle of Waterloo,Battle of Pichincha,Battle of Waterloo,The other two are Historical events of Ecuador
Paraguayan Flag,Paraguayan National Anthem,Paraguayan Guarani,Paraguayan Guarani,Paraguayan Flag and Paraguayan National Anthem are national symbols
Paraguayan War,Ciudad del Este,Asunción,Paraguayan War,Asunción and Ciudad del Este are cities in Paraguay
Paraguayan Soup,Casa de la Independencia Museum,National Pantheon of the Heroes,National Pantheon of the Heroes,Casa de la Independencia Museum and Paraguayan Soup are related to Paraguayan culture
Paraguayan Harp,Tereré,Paraguayan Polka,Tereré,Paraguayan Harp and Paraguayan Polka are related to Paraguayan music
Paraguayan Mandioca,Olimpia Asunción,Paraguayan Football Association,Paraguayan Mandioca,Paraguayan Football Association and Olimpia Asunción are related to Paraguayan football
Nanduti,Paraguayan Beef Stew,Ñandutí Festival,Paraguayan Beef Stew,Nanduti and Ñandutí Festival are related to Paraguayan traditional craft
Paraguayan Chaco,Paraguay River,Monday Falls,Paraguayan Chaco,Paraguay River and Monday Falls are water bodies
Paraguayan War,Chaco War,Paraguayan Empanada,Paraguayan Empanada,Paraguayan War and Chaco War are historical events
Paraguayan Flora,Paraguayan BBQ,Paraguayan Fauna,Paraguayan BBQ,Paraguayan Flora and Paraguayan Fauna are related to Paraguayan biodiversity
Pizza Napoletana,Sushi,Pizza Margherita,Sushi,The first two are traditional Italian pizzas
Rome,Venice,Paris,Paris,The other are are cities in Italy
Ferrari,Lamborghini,Mercedes,Mercedes,The other are Italian car manufacturers
Latte,Cappuccino,Espresso,Latte,The other are Italian coffee drinks without milk
Bocce,Calcio Storico,Rugby,Rugby,The other are traditional Italian sports
Champagne,Chianti,Prosecco,Champagne,The other are Italian wines
US Dollar,Italian Lira,Euro,US Dollar,The first two were/are official currencies in Italy
Mate,Chivito,Asado,Asado,Mate and Chivito are traditional Uruguayan foods
Murga,Tango,Candombe,Tango,Candombe and Murga are Uruguayan music genres
Boca Juniors,Peñarol,Nacional,Boca Juniors,Peñarol and Nacional are Uruguayan football clubs
Rio de la Plata,Uruguay River,Amazon River,Amazon River,Uruguay River and Rio de la Plata border Uruguay
Pabellón de los Treinta y Tres,Brazilian Flag,Celeste,Brazilian Flag,Celeste and Pabellón de los Treinta y Tres are Uruguayan flags
Mar del Plata,Piriapolis,Punta del Este,Mar del Plata,Punta del Este and Piriapolis are Uruguayan beach resorts
Lionel Messi,Luis Suarez,Edinson Cavani,Lionel Messi,Luis Suarez and Edinson Cavani are Uruguayan footballers
Malbec,Albariño,Tannat,Malbec,Tannat and Albariño are Uruguayan wine varieties
UNASUR,Mercosur,ASEAN,ASEAN,Mercosur and UNASUR are organizations Uruguay is a part of
Bolivian Quinua,Bolivian Peso,Bolivian Boliviano,Bolivian Quinua,Bolivian Boliviano and Bolivian Peso are both currencies
La Paz,Potosi,Sucre,Potosi,La Paz and Sucre are both capitals of Bolivia
Death Road,Salar de Uyuni,Lake Poopó,Death Road,Salar de Uyuni and Lake Poopó are both salt bodies
Bolivian Tinku,Bolivian Caporales,Bolivian Coffee,Bolivian Coffee,Bolivian Tinku and Bolivian Caporales are both dances
Andean Emerald,Andean Condor,Andean Flamingo,Andean Emerald,Andean Condor and Andean Flamingo are both birds
Llama,Alpaca,Bolivian Wine,Bolivian Wine,Llama and Alpaca are both domestic animals in Bolivia
Bolivian Volleyball,Bolivian Cinema,Bolivian Soccer,Bolivian Cinema,Bolivian Soccer and Bolivian Volleyball are both sports
Bolivian Coffee,Bolivian Chocolate,Bolivian Carnaval,Bolivian Carnaval,Bolivian Coffee and Bolivian Chocolate are both food products
Bolivian Desert,Amazon Rainforest,Andean Mountain Range,Bolivian Desert,Amazon Rainforest and Andean Mountain Range are both natural reserves
Dim Sum,Sushi,Peking Duck,Sushi,Peking Duck and Dim Sum are traditional Chinese dishes
Mandarin Language,Japanese Language,Cantonese Language,Japanese Language,Mandarin and Cantonese are both Chinese dialects
Tokyo,Beijing,Shanghai,Tokyo,Shanghai and Beijing are both cities in China
Renminbi,Yen,Yuan,Yen,Yuan and Renminbi are both Chinese currencies
Confucius,Laozi,Buddha,Buddha,Confucius and Laozi were both ancient Chinese philosophers
Terracotta Army,Pyramids,Great Wall,Pyramids,Terracotta Army and Great Wall are both ancient artifacts in China
Yangtze River,Nile River,Yellow River,Nile River,Yangtze River and Yellow River are both major rivers in China
Panda,Kangaroo,Chinese Dragon,Kangaroo,Panda and Chinese Dragon are both symbols of China
Mid-Autumn Festival,Chinese New Year,Christmas,Christmas,Chinese New Year and Mid-Autumn Festival are both traditional Chinese holidays
Samurai,Sumo Wrestler,Geisha,Sumo Wrestler,Geisha and Samurai are both historical figures in Japan
Sushi,Ramen,Tempura,Tempura,Sushi and Ramen are both served with soup in Japan
Yamanote Line,Taxi,Shinkansen,Taxi,Shinkansen and Yamanote Line are both rail transport in Japan
Nara,Kyoto,Tokyo,Tokyo,Kyoto and Nara were both ancient capitals of Japan
Kimono,Jeans,Yukata,Jeans,Kimono and Yukata are both traditional Japanese clothing
Bamboo,Cherry Blossom,Maple Leaves,Bamboo,Cherry Blossom and Maple Leaves are both seasonal in Japan
Anime,Manga,J-Pop,J-Pop,Manga and Anime are both forms of Japanese visual arts
Ikebana,Calligraphy,Origami,Calligraphy,Origami and Ikebana are both Japanese art forms using objects
Sake,Matcha Tea,Whiskey,Whiskey,Matcha Tea and Sake are both traditional Japanese drinks
Sushi,Bulgogi,Kimchi,Sushi,Kimchi and Bulgogi are traditional South Korean dishes
Hangul,Hangeul,Katakana,Katakana,Hangul and Hangeul are different romanizations for the Korean alphabet
J-pop,K-pop,K-drama,J-pop,K-pop and K-drama are forms of South Korean entertainment
Sake,Soju,Makgeolli,Sake,Soju and Makgeolli are traditional South Korean alcoholic beverages
Changdeokgung,Gyeongbokgung,The Forbidden City,The Forbidden City,"Gyeongbokgung and Changdeokgung are palaces in Seoul, South Korea"
Kimbap,Banchan,Miso Soup,Miso Soup,Banchan and Kimbap are types of South Korean food
Kimono,Hanbok,Jeogori,Kimono,Hanbok and Jeogori are traditional South Korean clothing
Disneyland,Lotte World,Everland,Disneyland,Lotte World and Everland are amusement parks in South Korea
Anime,K-beauty,Hallyu,Anime,Hallyu and K-beauty are South Korean cultural exports
Yen,Dollar,Rupiah,Dollar,Rupiah and Yen are Asian currencies
Eiffel Tower,Borobudur Temple,Prambanan Temple,Eiffel Tower,Borobudur and Prambanan are temples in Indonesia
Surabaya,Jakarta,Sydney,Sydney,Jakarta and Surabaya are cities in Indonesia
Javanese Language,Sundanese Language,French Language,French Language,Javanese and Sundanese are languages spoken in Indonesia
Orangutan,Kangaroo,Komodo Dragon,Kangaroo,Komodo Dragon and Orangutan are native animals of Indonesia
Nasi Goreng,Pizza,Satay,Pizza,Nasi Goreng and Satay are traditional Indonesian dishes
Batik,Songket,Denim,Denim,Batik and Songket are traditional Indonesian fabrics
Ballet,Barong,Wayang,Ballet,Wayang and Barong are traditional Indonesian performing arts
Thai Chili,Thai Language,Thai Basil,Thai Language,"Thai Basil and Thai Chili are used in Thai cuisine, unlike Thai Language."
Thai Massage,Thai Boxing,Muay Thai,Thai Massage,"Muay Thai and Thai Boxing are both combat sports, unlike Thai Massage."
Phang Nga Bay,Wat Phra Kaew,Wat Arun,Phang Nga Bay,"Wat Arun and Wat Phra Kaew are temples in Bangkok, unlike Phang Nga Bay."
Pad Thai,Tom Yum Goong,Thai Silk,Thai Silk,"Pad Thai and Tom Yum Goong are famous Thai dishes, unlike Thai Silk which is a fabric."
Thai Baht,Thai Passport,Thai Elephant,Thai Elephant,"Thai Baht and Thai Passport are related to Thai governance and identity, unlike Thai Elephant."
Full Moon Party,Thai Airways,Songkran Festival,Thai Airways,"Full Moon Party and Songkran Festival are popular events in Thailand, unlike Thai Airways which is an airline."
Songthaew,Tuk Tuk,Thai Orchid,Thai Orchid,"Tuk Tuk and Songthaew are modes of transport in Thailand, unlike Thai Orchid which is a flower."
Thai Dance,Thai Red Curry,Thai Green Curry,Thai Dance,"Thai Green Curry and Thai Red Curry are types of Thai cuisine, unlike Thai Dance which is a cultural activity."
Thai Boxing,Sukhothai Historical Park,Ayutthaya Historical Park,Thai Boxing,Ayutthaya Historical Park and Sukhothai Historical Park are UNESCO World Heritage Sites in Thailand.
Malay language,Tamil language,Chinese language,Chinese language,Malay and Tamil languages are both official languages in Malaysia
Dollar,Euro,Ringgit,Euro,Ringgit and Dollar are both currencies used in Malaysia (Ringgit as national currency and Dollar in tourist areas)
Durian,Mango,Mangosteen,Mango,Durian and Mangosteen are both native fruits to Malaysia
Eiffel Tower,Kuala Lumpur Tower,Petronas Towers,Eiffel Tower,Petronas Towers and Kuala Lumpur Tower are both famous landmarks in Kuala Lumpur
Laksa,Nasi Lemak,Sushi,Sushi,Nasi Lemak and Laksa are both traditional Malay dishes
Christmas,Hari Merdeka,Hari Raya Puasa,Christmas,Hari Merdeka and Hari Raya Puasa are both public holidays in Malaysia
Batu Caves,Mount Kinabalu,Mount Everest,Mount Everest,Batu Caves and Mount Kinabalu are both natural attractions in Malaysia
Sarawak,Sabah,Johor,Johor,Sarawak and Sabah are both located in East Malaysia
East Coast Park,Sentosa Island,Orchard Road,Orchard Road,Sentosa Island and East Coast Park are both recreational parks
Raffles Statue,Durian,Merlion,Durian,Merlion and Raffles Statue are both iconic statues
Laksa,Bak Kut Teh,Hainanese Chicken Rice,Bak Kut Teh,Hainanese Chicken Rice and Laksa are both rice-based dishes
Clarke Quay,Singapore Flyer,Orchard Road,Singapore Flyer,Orchard Road and Clarke Quay are both shopping districts
Gardens by the Bay,Botanic Gardens,Chinatown,Chinatown,Gardens by the Bay and Botanic Gardens are both green spaces
Singapore Zoo,Night Safari,Marina Bay Sands,Marina Bay Sands,Singapore Zoo and Night Safari are both wildlife parks
Sentosa Island,Esplanade,ArtScience Museum,Sentosa Island,Esplanade and ArtScience Museum are both cultural institutions
Universal Studios,Pulau Ubin,Bukit Timah Nature Reserve,Universal Studios,Bukit Timah Nature Reserve and Pulau Ubin are both nature reserves
Mall of the Emirates,Yas Mall,Dubai Mall,Yas Mall,Dubai Mall and Mall of the Emirates are both in Dubai
Ferrari World,Sheikh Zayed Mosque,Jumeirah Mosque,Ferrari World,Sheikh Zayed Mosque and Jumeirah Mosque are both mosques
Palm Jumeirah,Yas Island,The World Islands,Yas Island,Palm Jumeirah and The World Islands are both man-made islands in Dubai
Yas Waterworld,Dubai Fountain,Dubai Creek,Yas Waterworld,Dubai Fountain and Dubai Creek are both water bodies in Dubai
Emirates Palace,The Lost Chambers Aquarium,Dubai Aquarium,Emirates Palace,Dubai Aquarium and The Lost Chambers Aquarium are both aquariums
Qasr Al Hosn,Madinat Theatre,Dubai Opera,Qasr Al Hosn,Dubai Opera and Madinat Theatre are both theatre venues
Etihad Towers,Dubai Frame,Al Ain Zoo,Al Ain Zoo,Dubai Frame and Etihad Towers are both architectural landmarks
Al Ain Paradise Garden,Qasr Al Sarab,Dubai Miracle Garden,Qasr Al Sarab,Dubai Miracle Garden and Al Ain Paradise Garden are both gardens
Liwa Oasis,Deira,Dubai Marina,Liwa Oasis,Dubai Marina and Deira are both neighborhoods in Dubai
Red Sea,King Abdulaziz Airport,King Fahd Airport,Red Sea,King Abdulaziz Airport and King Fahd Airport are both transportation hubs
Euro,US Dollar,Saudi Riyal,US Dollar,Saudi Riyal and Euro are both used in the Middle East region
Kingdom Tower,Burj Khalifa,Abraj Al-Bait,Burj Khalifa,Kingdom Tower and Abraj Al-Bait are both located in Saudi Arabia
King Abdullah,King Salman,King Hussein,King Hussein,King Salman and King Abdullah were both Saudi Arabian kings
Arabian horse,Camel,Penguin,Penguin,Camel and Arabian horse are both native Saudi Arabian animals
Sambusa,Dates,Pizza,Pizza,Dates and Sambusa are both traditional Saudi Arabian foods
Qatari Dirham,Qatari Riyal,Qatari Dinar,Qatari Dirham,Qatari Riyal and Dinar are actual currencies
Dubai,Doha,Al Rayyan,Dubai,Doha and Al Rayyan are cities in Qatar
Arabic Cuisine,Chinese Cuisine,Qatari Cuisine,Chinese Cuisine,Qatari and Arabic cuisines are similar
Emirates,Qatari Rail,Qatar Airways,Qatari Rail,First two are airlines
Qatari Cricket Team,Saudi Arabian Football Team,Qatari Football Team,Saudi Arabian Football Team,Qatari Football and Cricket Teams are from Qatar
Pearl-Qatar,Banana Island,Palm Jumeirah,Palm Jumeirah,First two are artificial islands in Qatar
Qatar TV,Al Jazeera,BBC,BBC,Al Jazeera and Qatar TV are Qatari television networks
Qatari Falconry,Qatari Camel Racing,Qatari Soccer,Qatari Soccer,Falconry and Camel Racing are traditional Qatari sports
Qatari Forest,Qatari Coastline,Qatari Desert,Qatari Forest,"Qatar is known for its desert and coastline, not forests"
Nile River,Amazon River,Sahara Desert,Sahara Desert,Nile River and Amazon River are both rivers
Ramses II,Julius Caesar,Cleopatra,Julius Caesar,Cleopatra and Ramses II were both Egyptian rulers
Hieroglyphics,Rosetta Stone,Dead Sea Scrolls,Dead Sea Scrolls,Hieroglyphics and Rosetta Stone are related to ancient Egyptian writing
Zeus,Anubis,Ra,Zeus,Anubis and Ra are Egyptian deities
Parchment,Papyrus,Cartouche,Parchment,Papyrus and Cartouche are ancient Egyptian writing materials
The Book of the Dead,The Iliad,The Book of Gates,The Iliad,The Book of the Dead and The Book of Gates are ancient Egyptian texts
Alexander the Great,Nefertiti,Tutankhamun,Alexander the Great,Nefertiti and Tutankhamun were ancient Egyptian pharaohs
The Grand Canyon,The Valley of the Kings,The Valley of the Queens,The Grand Canyon,The Valley of the Kings and The Valley of the Queens are both burial sites in Egypt
The Red Sea,The Atlantic Ocean,The Mediterranean Sea,The Atlantic Ocean,The Red Sea and The Mediterranean Sea are both bodies of water that border Egypt
Whirling Dervishes,Hagia Sophia,Blue Mosque,Whirling Dervishes,The other two are both famous architectural landmarks in Istanbul
Bosphorus Bridge,Turkish Tea,Galata Tower,Turkish Tea,The other two are famous architectural structures in Istanbul
Anatolian Leopard,Anatolian Shepherd Dog,Turkish Van Cat,Turkish Van Cat,The other two are species native to Anatolia
Tarkan,Sezen Aksu,Orhan Pamuk,Orhan Pamuk,The other two are famous Turkish pop singers
Turkish Lira,Troy (ancient city),Ephesus (ancient city),Turkish Lira,The other two are ancient cities in Turkey
Doner Kebab,Turkish Rugs,Baklava,Turkish Rugs,The other two are traditional Turkish foods
Black Sea,Turkish Airlines,Marmara Sea,Turkish Airlines,The other two are bodies of water in Turkey
Cappadocia (region),Pamukkale (region),Turkish Coffee Pot,Turkish Coffee Pot,The other two are famous tourist regions in Turkey
Turkish Presidential Complex,Turkish Grand National Assembly,Turkish Delight,Turkish Delight,The other two are governmental institutions in Turkey
ABBA,The Beatles,The Rolling Stones,ABBA,The Beatles and The Rolling Stones are bands originated from the United Kingdom.
Fish and Chips,Croissant,English Breakfast,Croissant,English Breakfast and Fish and Chips are traditional dishes in the United Kingdom.
River Thames,River Seine,River Severn,River Seine,River Thames and River Severn are rivers in the United Kingdom.
Prince Charles,President Macron,Queen Elizabeth II,President Macron,Queen Elizabeth II and Prince Charles are members of the British Royal Family.
Eiffel Tower,Tower Bridge,Big Ben,Eiffel Tower,"Big Ben and Tower Bridge are famous landmarks in London, United Kingdom."
Welsh,English,French,French,English and Welsh are languages spoken in the United Kingdom.
Buckingham Palace,Windsor Castle,Versailles Palace,Versailles Palace,Buckingham Palace and Windsor Castle are royal residences in the United Kingdom.
Louvre Museum,British Museum,Natural History Museum,Louvre Museum,British Museum and Natural History Museum are famous museums in the United Kingdom.
Russian Vodka,Russian Ruble,Russian Ballet,Russian Ruble,Russian Vodka and Russian Ballet are both cultural symbols of Russia
Lake Baikal,Red Square,Kremlin,Lake Baikal,Kremlin and Red Square are both located in Moscow
Russian Bear,Siberian Tiger,Amur Leopard,Russian Bear,Siberian Tiger and Amur Leopard are both endangered species in Russia
Russian Museum,Russian Orthodox Church,St. Basil's Cathedral,Russian Museum,Russian Orthodox Church and St. Basil's Cathedral are both religious buildings
Volga River,Moscow Metro,Trans-Siberian Railway,Volga River,Trans-Siberian Railway and Moscow Metro are both transportation systems
